SETTLEMENTDATE,TOTALDEMAND,RRP
2019-07-26,8875.915208333334,82.32395833333332
2019-07-27,8053.996666666667,68.02145833333331
2019-07-28,7937.750416666665,66.35270833333334
2019-07-29,8762.643124999997,72.091875
2019-07-30,8927.827499999998,75.32020833333333
2019-07-31,8950.288124999997,71.13145833333331
2019-08-01,8706.87833333333,70.40020833333334
2019-08-02,8724.386875,77.20374999999997
2019-08-03,8075.148541666666,69.0872916666667
2019-08-04,7996.078333333332,74.64354166666669
2019-08-05,8478.542916666664,86.92229166666668
2019-08-06,8647.489375,79.64145833333335
2019-08-07,8550.828333333331,90.95041666666667
2019-08-08,8588.163333333334,77.69250000000001
2019-08-09,8629.126666666669,84.24520833333332
2019-08-10,8524.990833333331,75.47041666666667
2019-08-11,8562.637499999999,82.70812500000001
2019-08-12,8938.932708333334,103.31000000000004
2019-08-13,9063.235416666665,106.93312500000002
2019-08-14,9026.40229166667,98.95895833333333
2019-08-15,8728.336250000002,71.48791666666666
2019-08-16,8435.025208333334,70.61020833333333
2019-08-17,7695.384583333333,65.63770833333335
2019-08-18,7364.1483333333335,51.200208333333315
2019-08-19,8274.265833333333,58.509375000000006
2019-08-20,8520.265000000001,57.210208333333334
2019-08-21,8144.8481249999995,50.04125000000001
2019-08-22,8358.835000000001,68.61333333333333
2019-08-23,8535.390416666667,79.01083333333332
2019-08-24,7548.459583333334,53.436041666666654
2019-08-25,7335.664583333334,95.36374999999998
2019-08-26,8437.90625,118.6552083333333
2019-08-27,8411.27395833333,115.91916666666667
2019-08-28,8190.4716666666645,103.33750000000002
2019-08-29,8982.028541666667,123.15833333333335
2019-08-30,8997.742083333333,153.73645833333333
2019-08-31,7980.7247916666665,89.28166666666668
2019-09-01,7258.671249999999,67.99708333333332
2019-09-02,7872.1585416666685,70.73604166666668
2019-09-03,7748.876041666663,91.87020833333332
2019-09-04,7686.751249999998,100.23104166666668
2019-09-05,7645.136041666666,89.81124999999999
2019-09-06,7604.134999999998,60.35770833333331
2019-09-07,7195.145208333335,66.02395833333334
2019-09-08,7147.282916666666,59.01166666666665
2019-09-09,8069.439999999999,73.26979166666668
